ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA,LGA_NAME,LATITUDE,LONGITUDE,POSTCODE_CRASH,PED_OR_CYC,nearest_school,dist_to_gate_m
T20250012565,2025-09-05,08:00:00,2,Struck Pedestrian,5,Friday,108,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.,1,818678,1,0,0,1,1,2,2,5,Not at intersection,3,40,Arterial Other,BOROONDARA,-37.805614,145.03406,3101.0,True,Preston HS,7491.5
T20210017036,2021-06-08,23:20:00,4,Collision with a fixed object,6,Friday,198,OTHER ACCIDENTS NOT CLASSIFIABLE ELSEWHERE,3,29984,2,0,1,0,1,2,1,1,Cross intersection,2,60,Local Road,BENDIGO,-36.77642,144.2851,3550.0,True,William Ruthven SC,120443.3
T20230005847,2023-11-03,11:57:00,6,Vehicle overturned (no collision),6,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,760236,1,0,0,1,0,1,1,5,Not at intersection,3,80,Arterial Other,WHITTLESEA,-37.69272,144.9908,3074.0,True,William Ruthven SC,1153.6
T20220004628,2022-02-03,07:56:00,1,Collision with vehicle,4,Wednesday,152,PULLING OUT (OVERTAKING),1,709292,2,0,1,0,1,2,1,5,Not at intersection,2,80,Arterial Other,MORNINGTON PENINSULA,-38.30965,145.08418,3915.0,True,Preston HS,63513.0
T20210005411,2021-11-03,17:20:00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL,1,677771,1,0,1,0,0,1,1,5,Not at intersection,2,50,Local Road,MORNINGTON PENINSULA,-38.357548,144.75395,3943.0,True,Preston HS,71977.4
T20240028373,2024-07-11,19:00:00,2,Struck Pedestrian,5,Thursday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,3,29395,1,0,0,1,1,2,2,2,T intersection,3,70,Arterial Highway,DAREBIN,-37.7128,145.04579,3083.0,True,Reservoir HS,1793.8
T20250015669,2025-12-06,10:00:00,2,Struck Pedestrian,5,Thursday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,819223,1,0,1,0,1,2,1,2,T intersection,2,60,Local Road,BOROONDARA,-37.833584,145.04298,3122.0,True,Preston HS,10692.5
T20240003030,2024-07-02,11:49:00,4,Collision with a fixed object,4,Wednesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,800210,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Other,CARDINIA,-38.010246,145.51208,3810.0,True,Reservoir HS,53101.0
T20220015447,2022-10-07,16:35:00,4,Collision with a fixed object,1,Sunday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,719584,1,0,1,0,0,1,1,5,Not at intersection,2,80,Arterial Other,CARDINIA,-37.94485,145.51973,3783.0,True,Reservoir HS,49659.9
T20210024937,2021-06-12,15:45:00,2,Struck Pedestrian,2,Monday,101,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,1,701696,1,0,0,1,4,5,1,5,Not at intersection,3,60,Local Road,MORNINGTON PENINSULA,-38.18939,145.12039,3930.0,True,Preston HS,50761.9
T20210005427,2021-11-03,16:17:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,36192,2,0,1,0,1,2,1,1,Cross intersection,2,40,Local Road,MELBOURNE,-37.803707,144.95552,3051.0,True,Preston HS,8251.8
T20220007626,2022-05-04,15:14:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,42214,2,0,1,0,2,3,1,2,T intersection,2,70,Arterial Other,GLEN EIRA,-37.934605,145.04832,3204.0,True,Preston HS,21753.3
T20230005409,2023-04-03,13:30:00,4,Collision with a fixed object,6,Saturday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,812388,2,0,0,2,0,2,2,5,Not at intersection,3,999,Local Road,YARRA RANGES,-37.903717,145.33105,3158.0,True,Reservoir HS,33296.6
T20230022907,2023-01-10,12:05:00,6,Vehicle overturned (no collision),1,Sunday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,781928,1,0,1,0,0,1,1,5,Not at intersection,2,40,Local Road,GEELONG,-37.96122,144.43817,3211.0,True,Preston HS,55596.9
T20230023936,2023-10-10,19:07:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),2,68714,2,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road,BAYSIDE,-37.892868,145.00023,3186.0,True,Preston HS,16819.9
T20240019738,2024-05-08,06:25:00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY),5,807089,2,0,0,1,1,2,2,2,T intersection,3,60,Local Road,MACEDON RANGES,-37.360554,144.53963,3442.0,True,William Ruthven SC,55365.4
T20220010630,2022-10-05,12:50:00,8,No collision and no object struck,3,Tuesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),9,712504,1,0,0,1,0,1,2,5,Not at intersection,3,999,Local Road,GLEN EIRA,-37.892487,145.0129,3185.0,True,Preston HS,16774.5
T20220017305,2022-03-08,05:35:00,2,Struck Pedestrian,4,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,3,42403,1,0,1,0,1,2,1,2,T intersection,2,60,Arterial Other,MONASH,-37.925488,145.11966,3168.0,True,Preston HS,22701.5
T20250021294,2025-11-08,18:45:00,6,Vehicle overturned (no collision),1,Monday,170,OFF CARRIAGEWAY TO LEFT,5,821681,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Other,GOLDEN PLAINS,-38.09341,144.2491,3331.0,True,Preston HS,77140.6
T20240027183,2024-09-09,08:50:00,8,No collision and no object struck,2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,811072,2,0,0,1,1,2,2,5,Not at intersection,3,30,Local Road,MELBOURNE,-37.796215,144.9608,3052.0,True,Preston HS,7301.2
T20230013133,2023-04-06,23:00:00,6,Vehicle overturned (no collision),0,Sunday,151,OUT OF CONTROL (OVERTAKING),3,777472,1,0,0,1,0,1,1,5,Not at intersection,3,40,Local Road,YARRA,-37.8073,144.99721,3067.0,True,Preston HS,7346.0
T20210007932,2021-08-04,07:38:00,1,Collision with vehicle,4,Thursday,111,RIGHT FAR (INTERSECTIONS ONLY),1,809477,3,0,1,0,2,3,1,1,Cross intersection,2,100,Freeway,SURF COAST,-38.212486,144.18073,3240.0,True,Preston HS,89367.9
